,train_loss
0,1.1765628896337375
1,0.9840682757284205
2,0.9907503672576431
3,0.6587307753676724
4,0.6055402698488654
5,0.5521316946542071
6,0.47433743777332527
7,0.34054266298335295
8,0.46651773846602196
9,0.5070315825243118
10,0.5420381407997389
11,0.528555682964098
12,0.4997143024066606
13,0.49701028240489764
14,0.48999819026741703
15,0.4793542378015204
16,0.46620269783820945
17,0.4584699193772831
18,0.4409751649636332
19,0.4296726873553006
20,0.41983709862740837
21,0.18533855442347286
22,0.28673048884310753
23,0.3518569166765335
24,0.36226235559163755
25,0.38707229380941166
26,0.38491456001882174
27,0.3846676125645611
28,0.3707646899041214
29,0.35600585190240996
30,0.3238248044535572
31,0.2864662427486008
32,0.20575603144480772
33,0.2746082491482905
34,0.2624544049329622
35,0.13468544803102225
36,0.15244309988046365
37,0.13908466073284617
38,0.14608027631356393
39,0.13053043582283796
40,0.11775174974773231
41,0.13774979455843292
42,0.12482391350642795
43,0.12427380406325045
44,0.12751137180935057
45,0.11386380521778255
46,0.15011353253195334
47,0.13041318781432282
48,0.12829871873660767
49,0.13246455364426396
50,0.12578132879125523
51,0.1158814315754467
52,0.11721937857714067
53,0.12686954484942473
54,0.12012177730299792
55,0.1098472097267733
56,0.10534815442491818
57,0.11229664998770977
58,0.10979127341014486
59,0.1036292681156108
60,0.10606063391616179
61,0.10258057415130856
62,0.10084807407985387
63,0.09274127173934994
64,0.10478264566006536
65,0.10320761812870362
66,0.10163308243529241
67,0.08780555203386398
68,0.10502484175791046
69,0.1266929666828899
70,0.12747137449293386
71,0.10734871061178768
72,0.09020515313718049
73,0.10663098228309015
74,0.09609205913329157
75,0.1006127792365881
76,0.10202287797963183
77,0.11016943992788916
78,0.0952406697566639
79,0.09664939127089278
80,0.09950163486765967
81,0.09568764630242077
82,0.08629428579778758
83,0.0933701129254974
84,0.08708842937298925
85,0.08020065852672162
86,0.07586819166619843
87,0.08022171827452847
88,0.11041825700989588
89,0.2023220403689136
90,0.09963911841116477
91,0.14636968242005047
92,0.1370984125745588
93,0.08271260540679606
94,0.18190470631117886
95,0.13440601120838128
96,0.11757192027558833
97,0.08675794588141966
98,0.11435691842913819
99,0.11999790734270965
100,0.11947374242512696
101,0.101394240084831
102,0.1294159662811241
103,0.10601618424252443
104,0.10977371871531139
105,0.10884768219773613
106,0.12059547660324872
107,0.1192268495985099
108,0.11107225953811714
109,0.08729976954671946
110,0.08498638499748569
111,0.11060845782931603
112,0.08911799634447458
113,0.09878734118960389
114,0.1043399567771706
115,0.08084089620513382
