lat, lon, elevation, xIndex, yIndex
67.88362250095344, 74.70452573998112, -3.0, 0, 0
67.8836220353277, 74.71166324496195, -3.0, 1, 0
67.88362125928482, 74.71880074956255, -3.0, 2, 0
67.88362017282485, 74.72593825359276, -2.0, 3, 0
67.88361877594781, 74.73307575686246, -2.0, 4, 0
67.88361706865378, 74.74021325918153, -2.0, 5, 0
67.88361505094282, 74.74735076035986, -2.0, 6, 0
67.88361272281502, 74.75448826020731, -1.0, 7, 0
67.88361008427047, 74.76162575853374, -1.0, 8, 0
67.88360713530929, 74.76876325514907, -1.0, 9, 0
67.88360387593158, 74.77590074986313, 0.0, 10, 0
67.88360030613754, 74.78303824248582, 0.0, 11, 0
67.88359642592724, 74.790175732827, -1.0, 12, 0
67.8835922353009, 74.79731322069657, -1.0, 13, 0
67.88358773425867, 74.80445070590439, -1.0, 14, 0
67.88358292280074, 74.81158818826033, 17.0, 15, 0
67.88357780092733, 74.8187256675743, 26.0, 16, 0
67.88357236863864, 74.82586314365615, 26.0, 17, 0
67.88356662593489, 74.83300061631577, 24.0, 18, 0
67.8863122603243, 74.70452656380225, -3.0, 0, 1
67.8863117946361, 74.71166489260412, -3.0, 1, 1
67.8863110184891, 74.7188032210256, -3.0, 2, 1
67.88630993188335, 74.72594154887649, -2.0, 3, 1
67.8863085348189, 74.73307987596658, -2.0, 4, 1
67.8863068272958, 74.74021820210567, -2.0, 5, 1
67.88630480931411, 74.74735652710358, -2.0, 6, 1
67.88630248087395, 74.75449485077009, -1.0, 7, 1
67.88629984197539, 74.76163317291503, -1.0, 8, 1
67.88629689261855, 74.76877149334815, -1.0, 9, 1
67.88629363280353, 74.77590981187932, -1.0, 10, 1
67.88629006253052, 74.7830481283183, -1.0, 11, 1
67.88628618179963, 74.7901864424749, -1.0, 12, 1
67.88628199061102, 74.79732475415894, -1.0, 13, 1
67.8862774889649, 74.8044630631802, -1.0, 14, 1
67.88627267686141, 74.8116013693485, 16.0, 15, 1
67.8862675543008, 74.81873967247363, 27.0, 16, 1
67.88626212128327, 74.8258779723654, 29.0, 17, 1
67.88625637780903, 74.83301626883365, 27.0, 18, 1
67.88900201880564, 74.70452738782927, -3.0, 0, 2
67.88900155305494, 74.71166654065811, -3.0, 1, 2
67.88900077680381, 74.7188056931064, -3.0, 2, 2
67.88899969005224, 74.72594484498389, -3.0, 3, 2
67.88899829280034, 74.73308399610028, -2.0, 4, 2
67.88899658504812, 74.74022314626531, -2.0, 5, 2
67.88899456679567, 74.74736229528871, -2.0, 6, 2
67.88899223804304, 74.7545014429802, -1.0, 7, 2
67.8889895987904, 74.76164058914952, -1.0, 8, 2
67.8889866490378, 74.76877973360641, -1.0, 9, 2
67.88898338878539, 74.77591887616057, -1.0, 10, 2
67.8889798180333, 74.78305801662177, -1.0, 11, 2
67.88897593678169, 74.7901971547997, -1.0, 12, 2
67.8889717450307, 74.79733629050409, -1.0, 13, 2
67.88896724278052, 74.80447542354472, -1.0, 14, 2
67.88896243003134, 74.81161455373126, 14.0, 15, 2
67.88895730678338, 74.81875368087348, 28.0, 16, 2
67.88895187303683, 74.82589280478112, 31.0, 17, 2
67.88894612879191, 74.83303192526388, 26.0, 18, 2
67.89169177639754, 74.7045282120623, -4.0, 0, 3
67.89169131058433, 74.71166818912408, -3.0, 1, 3
67.89169053422903, 74.71880816580517, -3.0, 2, 3
67.89168944733164, 74.72594814191524, -3.0, 3, 3
67.89168804989222, 74.73308811726392, -2.0, 4, 3
67.89168634191083, 74.74022809166088, -2.0, 5, 3
67.89168432338752, 74.74736806491576, -2.0, 6, 3
67.89168199432241, 74.75450803683823, -2.0, 7, 3
67.89167935471558, 74.76164800723795, -1.0, 8, 3
67.89167640456714, 74.76878797592455, -1.0, 9, 3
67.89167314387721, 74.77592794270772, -1.0, 10, 3
67.89166957264595, 74.7830679073971, -1.0, 11, 3
67.89166569087348, 74.79020786980234, -1.0, 12, 3
67.89166149855998, 74.79734782973311, -1.0, 13, 3
67.89165699570563, 74.80448778699908, -1.0, 14, 3
67.8916521823106, 74.81162774140986, 13.0, 15, 3
67.89164705837511, 74.81876769277515, 26.0, 16, 3
67.89164162389937, 74.82590764090462, 27.0, 17, 3
67.89163587888362, 74.83304758560789, 23.0, 18, 3
67.89438153310007, 74.70452903650138, -4.0, 0, 4
67.89438106722434, 74.71166983800218, -3.0, 1, 4
67.89438029076484, 74.71881063912215, -3.0, 2, 4
67.89437920372158, 74.72595143967085, -3.0, 3, 4
67.89437780609461, 74.73309223945789, -3.0, 4, 4
67.89437609788399, 74.74023303829284, -2.0, 5, 4
67.8943740790898, 74.74737383598527, -2.0, 6, 4
67.8943717497121, 74.75451463234478, -2.0, 7, 4
67.89436910975101, 74.76165542718095, -1.0, 8, 4
67.89436615920664, 74.76879622030336, -1.0, 9, 4
67.8943628980791, 74.77593701152159, -1.0, 10, 4
67.89435932636854, 74.78307780064522, -1.0, 11, 4
67.8943554440751, 74.79021858748384, -1.0, 12, 4
67.89435125119897, 74.79735937184704, -1.0, 13, 4
67.89434674774029, 74.8045001535444, -1.0, 14, 4
67.89434193369927, 74.81164093238549, -1.0, 15, 4
67.89433680907611, 74.81878170817991, 22.0, 16, 4
67.89433137387101, 74.82592248073725, 22.0, 17, 4
67.89432562808423, 74.8330632498671, 18.0, 18, 4
67.89707128891334, 74.70452986114661, -4.0, 0, 5
