  0.466570E+00  0.498728E+00  0.507953E+00  0.507395E+00  0.492782E+00  0.484994E+00  0.459422E+00  0.451748E+00  0.423708E+00  0.389031E+00  0.375011E+00  0.315916E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.527604E+00  0.559925E+00  0.568091E+00  0.566632E+00  0.551165E+00  0.543681E+00  0.517740E+00  0.509899E+00  0.482605E+00  0.446952E+00  0.438169E+00  0.376325E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.523938E+00  0.557096E+00  0.565879E+00  0.565049E+00  0.549408E+00  0.548058E+00  0.534833E+00  0.509641E+00  0.483389E+00  0.447288E+00  0.437530E+00  0.375282E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.525095E+00  0.553961E+00  0.563704E+00  0.563338E+00  0.549261E+00  0.544832E+00  0.532908E+00  0.508605E+00  0.486473E+00  0.450734E+00  0.437070E+00  0.374024E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.520861E+00  0.549876E+00  0.560846E+00  0.563155E+00  0.558602E+00  0.542715E+00  0.531453E+00  0.507806E+00  0.503141E+00  0.471443E+00  0.439418E+00  0.375741E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.515202E+00  0.545065E+00  0.558842E+00  0.560726E+00  0.556221E+00  0.539932E+00  0.531677E+00  0.510043E+00  0.500825E+00  0.470468E+00  0.440032E+00  0.388597E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.507634E+00  0.538249E+00  0.555074E+00  0.557804E+00  0.553608E+00  0.537444E+00  0.537053E+00  0.522374E+00  0.499579E+00  0.469886E+00  0.439497E+00  0.429688E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.496958E+00  0.529923E+00  0.550520E+00  0.554215E+00  0.550379E+00  0.534721E+00  0.534364E+00  0.519197E+00  0.496984E+00  0.468013E+00  0.438043E+00  0.428414E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.483714E+00  0.518624E+00  0.544156E+00  0.548997E+00  0.545569E+00  0.530935E+00  0.529895E+00  0.514608E+00  0.493536E+00  0.465557E+00  0.435858E+00  0.425678E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
  0.470875E+00  0.502409E+00  0.534780E+00  0.541859E+00  0.539619E+00  0.526041E+00  0.523034E+00  0.508992E+00  0.489070E+00  0.462207E+00  0.432567E+00  0.421039E+00 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01 -0.900000E+01
